,follower_count,user_id,user_name
626,8,1.020645428679848e+18,Olaf891162841
627,511,7.984944082368143e+17,HeinerMe
628,51,41440316.0,corwin42
629,128,1.37764300014737e+18,steffen100
630,2715,22049748.0,JoergRupp
631,11,48735709.0,Landmilch1
632,31,1648102615.0,bruderbru
633,721,32677335.0,SPeitsch
634,274,460167734.0,derneunte
635,130,240829099.0,jaronschaechter
636,38,1.2709523290560061e+18,KeelAbove
637,630,73352688.0,swisscleandrive
638,1,1.4435345829770772e+18,MarkusStadtmann
639,6,9.747178216273633e+17,Soundsteffen
640,194,241906361.0,wiesson
641,44,254998161.0,_MLohmann
642,654,8.069372921032581e+17,WernerderChamp
643,7506,2477982157.0,VDA_online
644,7591,197351613.0,LOGISTIK_HEUTE
645,66,8.623793304832328e+17,DottoreWingel
646,31,9.15866697336279e+17,BeneHoelker
647,298,9.553490342601892e+17,TilRemen
648,115,29656421.0,MarcoPast_Dir
649,439,9.2724835646797e+17,InezHusseni
650,3770,234786510.0,swisscleantechD
651,50,2284252600.0,Megachecker1
652,8,40341884.0,droelf_o_mat
653,2012,1.2206716497601413e+18,Anzugmensch
654,966,1.4791991956597432e+18,ElektroautoMeme
655,538,1.3266052473646694e+18,Druckspueler1
656,105,1134921242.0,Glog78
657,72,2751155157.0,MoritzZptr
658,75,108589313.0,hustenpastille
659,103,569226748.0,ArsenalCologne
660,3,1.090660411542827e+18,Gege59535416
661,952,554693877.0,jtkrefelder
662,237,1.482725963398103e+18,SvenHan1967
663,74,586402976.0,Ingenieur_P
664,77,1414909472.0,KeElvanSu
665,1268,3410264410.0,moritur_et_ride
666,236,1.3469440786515436e+18,Robowarp1
667,171,1.263040021818458e+18,hgrdlmn
668,258,3332325370.0,daniel_eik
669,595,473028934.0,freizeitradler
670,314,1.2906148255555625e+18,mitchback81
671,533,7.972146758218506e+17,chrisX107
672,4626,1.2240625590216745e+18,Joffrey77855104
673,18,88537249.0,berlinhimmel
674,82,1.3388490841578578e+18,k3sro
675,3333,69526491.0,publictorsten
676,220,51047667.0,nicnowak
677,79,339211863.0,CarstenGross
678,26,1.4142704948581704e+18,Sebastian14065
679,2253,1578184500.0,Sukani123
680,2181,137961046.0,nachrichten_kl
681,6776,2315295732.0,bnw_ev
682,20,8.184438505954017e+17,KyleSut35297503
683,430,9.799726800142705e+17,jstrehmann
684,296,313290741.0,mlevenhagen
685,32,1.070127462909141e+18,Belfarod1
686,1106,16697345.0,flobby
687,140,154438906.0,StarneyDude
688,54455,17550350.0,neuepresse
689,924,60408130.0,JoFrie_
690,603,14718071.0,morgenmicha
691,186,270945533.0,adrian_santonja
692,387,1633016234.0,bus_blickpunkt
693,14,1.351872687363289e+18,TomD10919
694,289,47599478.0,tronicum
