,users,follower_count
954,greveler,1038
955,NotSoLuckyStar,219
956,Event_IAO,313
957,42paba,5
958,40spokes,51
959,sascha_p,45514
960,Sasa63957285,14
961,HerrVorragend0,10
962,BerndBoden,0
963,xXSnoupyXx,19
964,Frau_Elster,427
965,tina196521,1176
966,Akkufuchs,117
967,Xus1Ba,21
968,Zeroday_Podcast,99
969,HerrKausB1,192
970,michael_ewig,18
971,Redaktion_ep,867
972,appletechnikbl,467
973,dr_hankee,30
974,taxforce_bln,74
975,MichiFrie,6
976,PeterPa74959590,54
977,TspCheckpoint,8634
978,micdaum,94
979,wunder2welt,798
980,denkbeteiligung,375
981,r41n8ow,14
982,jonas_109_,159
983,mpempi,426
984,JPK1993,7
985,DudeReicher,29
986,BoeckAndi,1
987,gorch_web,10
988,jakbaum,687
989,AlFa47945175,140
990,presseticker,1866
991,fabiandoehla,53789
992,mahlwerkende,332
993,lukasheidrich99,413
994,Martin_Black,233
995,ChristianWeyer4,844
996,NichtTK,2999
997,_Ringeltaube_,134
998,NLinDeutschland,1945
999,DontSwitch,1489
1000,Sonnenschein500,194
1001,pfeisi,746
1002,IsmailErtug,5955
1003,DEmobil2030,2082
1004,TaunusOnline,1320
1005,NiklasRose3,28
1006,kommunal_eu,1021
1007,hawaiidoktor,27
1008,HerrSievers,356
1009,liberalornot,324
1010,DerInspector,2
1011,TouchBenny,5384
1012,MsBonnyParker,1112
1013,R_ZausC,9
1014,Sina_Colada,372
1015,MaAhl5,53
1016,SiemensDE,6930
1017,StN_News,43150
1018,StZ_NEWS,137283
1019,peterhense,8968
1020,MedLafaille,1718
1021,FTageblatt,844
1022,MarkusM31,4
1023,Balelt41,21211
1024,ProdMgrNet,467
1025,rRockxter,910
1026,Maj3stikOn3,139
1027,zach_andrea,3091
1028,Deutschlandver1,42
1029,zweitzehtee,783
1030,elmarburke,675
1031,TomRR86,58
1032,elektrokarre,1578
1033,punkteflo,5
1034,martinruff1,1484
1035,Calenberger,21
1036,pinkvogon,12
1037,st_lindner,493
1038,_zesstra_,43
1039,SaftmanWiki,980
1040,tusy28,346
1041,SoBluMneme,33
1042,glasspider64,994
1043,joblo2297,35
1044,1_punch_mickey,1770
1045,kokopelli1202,25
1046,SabsonEwing,8032
1047,ESKEI83,10334
1048,paul_wtz,4809
1049,UndIndustrieDe,12
1050,fundscene,206
1051,trendreport_de,376
1052,elektrobays,133
1053,thetruejoewolf,16
1054,ATGBrokers,91
1055,12Bong17,44
1056,_electroproject,1031
1057,GeorgSchoener,2063
1058,naheimst,666
1059,Polizei_Ffm,289085
1060,IHKGiFb,665
1061,eMObilityBerlin,3300
1062,suutande,34
1063,35Millimeter,271
1064,Lausebengel_,2257
1065,onsite4uXS,5
1066,StromschlagYT,944
1067,Kirmesboxer,504
1068,SarahOBuecher,851
1069,insomnia40000,19
1070,Aluminiumoxyni1,75
1071,Friesenjung84,13
1072,USchrufer,2
1073,Friesenjunk,605
1074,UweRGGaertner,84
1075,Eich_Hoern,61
1076,MarkusRosenthal,232
1077,jeensch,8
1078,yelroa,548
1079,IT_Times_de,1452
1080,DWochenblatt,47
1081,hieberpha,2
1082,mudealbernblod,65
1083,MarkusvonRoder,2367
1084,TRhinow,5
1085,Eclipseina,90
1086,atropeia,402
1087,RGBPixl,580
1088,BerndKacke,1995
1089,stadtmobil,890
1090,fruehgg,26
1091,SumikaiNews,4860
1092,HerrRain,140
1093,BastiSchmiddi86,73
1094,Amber_FPunkt,224
1095,SamothRelgi,839
1096,GdWWohnen,4583
1097,BarbaraISchmitz,716
1098,araldeutschland,1326
1099,tegralis_roger,95
1100,WirtschaftCom,8262
1101,instantnews24DE,59
1102,BernhardGuhl,3386
1103,janusPrime,790
1104,RA_ABiat,1245
1105,StevenK36571392,9
1106,Flo_Rian,261
1107,AndiRkn,68
1108,FriedrichMeichs,269
1109,green_car_mag,95
1110,addiks,12
1111,smight_city,510
1112,KNeufeld59,1
1113,AchimEhinger,44
1114,allmighty0815,10
1115,birgitj,184
1116,InsideNatas,231
1117,moser701,376
1118,marjanbeh,136
1119,MarlonGollnisch,1807
1120,ee_news,1225
1121,VladddKo,204
1122,RaiHeini,2
1123,Miezhaus2,89
1124,ComicsansE,174
1125,UdoBose2,11
1126,mayer_reinhold,14
1127,DDhenri,295
1128,victoriaVIP069,11
1129,SimoneitMarc,1
1130,FranzrebKlaus,80
1131,MOSP1973,0
1132,BackhausPaula,130
1133,Shin_i_shingan,33
1134,leseerlaubnis,394
1135,_TiloBerner,548
1136,klimalisteRhNe,458
1137,KaiLouis10,15
1138,DatTinsche,207
1139,PeterleHuber,508
1140,fs_guide,901
1141,fuchsi8910,34
1142,LFEWM,5
1143,dl4go,581
1144,bwe_sh,383
1145,denisius,846
1146,Weidmueller,2118
1147,franzalt,9114
1148,geospin,703
1149,KandalfIn,3
1150,Rolf_Buch,2507
1151,MoritzStanarius,124
1152,BMWK,134240
1153,dena_news,14324
1154,elektronet_de,286
1155,GeisterAutorin,199
1156,grumpyplauze,1466
1157,EnricoCaruso,100
1158,DigitRep,584
1159,johannesg799,2
1160,Elmal96,527
1161,GiantAtomic,13
1162,netzentlaster,18
1163,KatrinEberhardt,1588
1164,princessofdawn3,77
1165,minimalist_h,445
1166,ThomCgn,147
1167,nuclearpostman,102
1168,leonlliberal,1211
1169,Thalon1us,15
1170,muensterblick,43
1171,pea_schafer,
1172,EAutoPionier,472
1173,ALEXfromBAD,436
1174,Auto_Redaktion,242
1175,BakerTilly_GER,280
1176,EnyEmerald,12
1177,BernhardSterz,220
1178,doppelgrau,156
1179,DW_aktuell,3191
